draft_year,draft_round,selection,team,firstname,lastname,ilkid,draft_from,leag
1947,0,0,N/A,Larry,Killick,N/A,Vermont,N
1947,0,0,N/A,Bob,Jake,N/A,Vermont,N
1947,0,0,N/A,John,Rusinko,N/A,Penn State,N
1947,0,0,N/A,Harry,Gallatin,GallaHa01,NE Missouri State Teachers College,N
1947,0,0,N/A,Charles,Raynor,N/A,Houston,N
1947,0,0,N/A,Elmer,Gainer,GaineEl01,DePaul,N
1947,0,0,N/A,Scotty,Hamilton,N/A,West Virginia,N
1947,0,0,N/A,Hugh,Hampton,N/A,High Point,N
1947,0,0,N/A,Chick,Reiser,N/A,New York University,N
1947,0,0,N/A,Robert,Bolyard,N/A,Toledo,N
1947,0,0,bos,Ed,Ehlers,EhlerEd01,Purdue,N
1947,0,0,bos,Hank,Biasetti,BiaseHa01,Long Island,N
1947,0,0,bos,Gene,Stump,StumpGe01,DePaul,N
1947,0,0,bos,George,Felt,N/A,Northwestern,N
1947,0,0,bos,Bob,Alemeida,N/A, ,N
1947,0,0,bos,George,Petrovick,N/A, ,N
1947,0,0,bos,John,Ezersky,EzersJo01,Rhode Island State,N
1947,0,0,bos,Jack,Hewson,HewsoJa01,Temple,N
1947,0,0,bos,John,Kelly,N/A,Notre Dame,N
1947,0,0,CH1,Paul,Huston,HustoPa01,Ohio State,N
1947,0,0,CH1,Ben,Schadler,SchadBe01,Northwestern,N
1947,0,0,CH1,Hank,Decker,N/A,West Texas State,N
1947,0,0,CH1,Gene,Vance,VanceGe01,Illinois,N
1947,0,0,CH1,Andy,Phillip,PhillAn01,Illinois,N
1947,0,0,CH1,Ralph,Bishop,N/A,Washington,N
1947,0,0,CH1,Jim,Darden,DardeJi01,Denver,N
1947,0,0,CH1,Jim,Pollard,PollaJi01,Stanford,N
1947,0,0,CH1,Don,Smith,SmithDo03,Minnesota,N
1947,0,0,CH1,Jack,Stone,N/A,Kansas State,N
1947,0,0,nyk,Dick,Holub,HolubDi01,Long Island,N
1947,0,0,nyk,Tom,Tomlinson,N/A,Southern Methodist,N
1947,0,0,nyk,Garland,Head,N/A,Texas Tech,N
1947,0,0,nyk,Carl,Reichert,N/A,Findlay,N
1947,0,0,nyk,Ray,Evans,N/A,Kansas,N
1947,0,0,nyk,Andy,Duncan,DuncaAn01,William & Mary,N
1947,0,0,nyk,Ed,Golub,N/A,Norfolk Naval Training Center,N
1947,0,0,nyk,Ron,Livingston,N/A,St. Mary's (CA),N
1947,0,0,nyk,Dan,Miller,N/A,St. Louis,N
1947,0,0,nyk,Wat,Misaka,MisakWa01,Utah,N
1947,0,0,phi,Frank,Crossin,CrossFr01,Pennsylvania,N
1947,0,0,phi,Ed,Koffenberger,N/A,Duke,N
1947,0,0,phi,Norman,Butz,N/A,St. Joseph's (PA),N
1947,0,0,phi,Jim,Kaeding,N/A,York,N
1947,0,0,phi,Jim,Pollard,PollaJi01,Stanford,N
1947,0,0,pit,Clifton,McNeeley,N/A,Texas Western,N
1947,0,0,pit,Bob,Alamo,N/A,Santa Clara,N
1947,0,0,pit,Herman,Knoche,KnochHe01,Washington & Jefferson,N
1947,0,0,pit,Dick,Ives,N/A,Iowa,N
1947,0,0,pit,Jack,Walton,N/A,DePauw,N
1947,0,0,pit,Fred,Nagy,NagyFr01 ,Akron,N
1947,0,0,pit,George,Brown,N/A, ,N
1947,0,0,pro,Walt,Dropo,N/A,Connecticut,N
1947,0,0,pro,Roy,Lipscomb,N/A,St. Mary's,N
1947,0,0,pro,John,Mills,MillsJo01,Hofstra,N
1947,0,0,pro,Al,Nichols,N/A,Rhode Island State,N
1947,0,0,pro,Dick,Furey,N/A,St. Thomas (MN),N
1947,0,0,pro,Robert,Hubbard,N/A,Springfield College,N
1947,0,0,pro,Joe,Barry,N/A, ,N
1947,0,0,pro,Bob,Joyce,N/A,Bates,N
1947,0,0,ST1,Jack,Underman,N/A,Ohio State,N
1947,0,0,ST1,Herb,Wilkinson,N/A,Iowa,N
1947,0,0,ST1,Jack,Knopf,N/A,Louisville,N
1947,0,0,ST1,Bob,Kurland,N/A,Oklahoma A&M,N
1947,0,0,ST1,Paul,Napolitano,NapolPa01,San Francisco,N
1947,0,0,ST1,Jim,Pollard,PollaJi01,Stanford,N
1947,0,0,ST1,Bill,Strannigan,N/A,Colorado/Wyoming,N
1947,0,0,TO1,Glen,Selbo,SelboGl01,Wisconsin,N
1947,0,0,TO1,Red,Rocha,RochaRe01,Oregon State,N
1947,0,0,TO1,Frank,Broyles,N/A,Georgia Tech,N
1947,0,0,TO1,Wimpy,Quinn,N/A,Oregon,N
1947,0,0,TO1,Paul,Hoffman,HoffmPa01,Purdue,N
1947,0,0,WSC,Dick,O'Keefe,OKeeDi01 ,Santa Clara,N
1947,0,0,WSC,Jack,Tingle,TinglJa01,Kentucky,N
1947,0,0,WSC,Bill,Burke,N/A,St. Mary's,N
1947,0,0,WSC,Abel,Rodriguez,N/A,San Francisco,N
1947,0,0,WSC,Paul,Cloyd,N/A,Wisconsin,N
1947,0,0,WSC,Mat,Zunic,ZunicMa01,George Washington,N
1947,0,0,WSC,John,Mandic,MandiJo01,Oregon State,N
1947,0,0,WSC,Irwin,Rothenberg,RotheIr01,Long Island,N
1947,0,0,WSC,Saul,Mariaschin,MariaSa01,Harvard,N
1948,0,0,N/A,Jim,Black,N/A,Occidental,N
1948,0,0,N/A,Darrell,Brown,BrownDa01,Humboldt State,N
1948,0,0,N/A,Walter,Budko,BudkoWa01,Columbia,N
1948,0,0,N/A,Robert,Carroll,N/A,West Virginia,N
1948,0,0,N/A,Jake,Carter,CarteJa01,East Texas State,N
1948,0,0,N/A,Marvin,English,N/A,Newberry,N
1948,0,0,N/A,Gene,Fellmoth,N/A,Whittenberg,N
1948,0,0,N/A,JW,Fullerton,N/A,Arkansas State,N
1948,0,0,N/A,Marshall,Gemberling,N/A,Lebanon Valley,N
1948,0,0,N/A,Vince,Hansen,N/A,Washington State,N
1948,0,0,N/A,Joe,Holland,HollaJo01,Kentucky,N
1948,0,0,N/A,Dan,Kraus,KrausDa01,Georgetown,N
1948,0,0,N/A,Wayne,Jones,N/A,American International,N
1948,0,0,N/A,Herbert,Krautblatt,KrautHe01,Rider,N
1948,0,0,N/A,Paul,Marcincin,N/A,Moravian,N
1948,0,0,Bos,John,Bach,BachJo01 ,Fordham,N
1948,0,0,Bos,Norman,Carey,N/A,Oregon State,N
1948,0,0,Bos,Bob,Curran,N/A,Holy Cross,N
1948,0,0,Bos,Neil,Dooley,N/A,Colgate,N
1948,0,0,Bos,George,Hauptfuhrer,N/A,Harvard,N
1948,0,0,Bos,Jack,Hauser,N/A,Denver,N
1948,0,0,Bos,Marshall,Hawkins,HawkiMa01,Tennessee,N
1948,0,0,Bos,Tom,Kelly,KellyTo01,New York University,N
1948,0,0,Bos,Murray,Mitchell,MitchMu01,Sam Houston State,N
1948,0,0,Bos,Guinn,Phillips,N/A,Texas Wesleyan,N
1948,0,0,Bos,Ray,Wehde,N/A,Iowa State,N
1948,0,0,CH1,John,Dillon,DilloJo01,North Carolina,N
1948,0,0,CH1,Ed,Kachan,KachaEd01,DePaul,N
1948,0,0,CH1,Mickey,Marty,N/A,Loras,N
1948,0,0,CH1,Ed,Mikan,MikanEd01,DePaul,N
1948,0,0,CH1,Ed,Mills,N/A,Wisconsin,N
1948,0,0,CH1,Don,Reagan,N/A,Murray State,N
1948,0,0,CH1,Joe,Shafer,N/A,Wheaton,N
1948,0,0,CH1,Odie,Spears,SpearOd01,Western Kentucky,N
